X;CH1;CH2
Second;Volt;Volt
-3,20E-04;3,04E+00;-1,60E-02
-3,00E-04;3,04E+00;-3,20E-02
-2,80E-04;2,96E+00;-4,00E-02
-2,60E-04;3,04E+00;-4,80E-02
-2,40E-04;2,96E+00;-5,60E-02
-2,20E-04;2,96E+00;-7,99E-02
-2,00E-04;2,96E+00;-7,99E-02
-1,80E-04;2,88E+00;-8,79E-02
-1,60E-04;2,88E+00;-1,12E-01
-1,40E-04;2,88E+00;-1,28E-01
-1,20E-04;2,88E+00;-1,28E-01
-1,00E-04;2,80E+00;-1,36E-01
-8,00E-05;2,80E+00;-1,52E-01
-6,00E-05;2,72E+00;-1,52E-01
-4,00E-05;2,64E+00;-1,60E-01
-2,00E-05;2,48E+00;-1,68E-01
0,00E+00;2,32E+00;-1,60E-01
2,00E-05;2,08E+00;-1,60E-01
4,00E-05;1,92E+00;-1,68E-01
6,00E-05;1,76E+00;-1,68E-01
8,00E-05;1,60E+00;-1,68E-01
1,00E-04;1,44E+00;-1,60E-01
1,20E-04;1,20E+00;-1,68E-01
1,40E-04;1,04E+00;-1,60E-01
1,60E-04;8,80E-01;-1,60E-01
1,80E-04;7,20E-01;-1,60E-01
2,00E-04;4,80E-01;-1,60E-01
2,20E-04;3,20E-01;-1,68E-01
2,40E-04;1,60E-01;-1,68E-01
2,60E-04;0,00E+00;-1,68E-01
2,80E-04;-1,60E-01;-1,68E-01
3,00E-04;-2,40E-01;-1,60E-01
3,20E-04;-4,00E-01;-1,68E-01
3,40E-04;-6,40E-01;-1,60E-01
3,60E-04;-8,00E-01;-1,68E-01
3,80E-04;-9,60E-01;-1,60E-01
4,00E-04;-1,20E+00;-1,60E-01
4,20E-04;-1,36E+00;-1,60E-01
4,40E-04;-1,52E+00;-1,60E-01
4,60E-04;-1,68E+00;-1,68E-01
4,80E-04;-1,84E+00;-1,60E-01
5,00E-04;-2,08E+00;-1,60E-01
5,20E-04;-2,24E+00;-1,60E-01
5,40E-04;-2,40E+00;-1,60E-01
5,60E-04;-2,56E+00;-1,60E-01
5,80E-04;-2,72E+00;-1,68E-01
6,00E-04;-2,96E+00;-1,60E-01
6,20E-04;-3,12E+00;-1,68E-01
6,40E-04;-3,28E+00;-1,60E-01
6,60E-04;-3,44E+00;-1,60E-01
6,80E-04;-3,60E+00;-1,60E-01
7,00E-04;-3,84E+00;-1,60E-01
7,20E-04;-3,92E+00;-1,60E-01
7,40E-04;-4,08E+00;-1,60E-01
7,60E-04;-4,32E+00;-1,68E-01
7,80E-04;-4,56E+00;-1,68E-01
8,00E-04;-4,64E+00;-1,68E-01
8,20E-04;-4,88E+00;-1,60E-01
8,40E-04;-4,96E+00;-1,60E-01
8,60E-04;-5,20E+00;-1,60E-01
8,80E-04;-5,36E+00;-1,60E-01
9,00E-04;-5,52E+00;-1,68E-01
9,20E-04;-5,68E+00;-1,68E-01
9,40E-04;-5,84E+00;-1,60E-01
9,60E-04;-6,00E+00;-1,60E-01
9,80E-04;-6,24E+00;-1,68E-01
1,00E-03;-6,40E+00;-1,68E-01
1,02E-03;-6,56E+00;-1,60E-01
1,04E-03;-6,72E+00;-1,60E-01
1,06E-03;-6,88E+00;-1,60E-01
1,08E-03;-7,04E+00;-1,68E-01
1,10E-03;-7,20E+00;-1,68E-01
1,12E-03;-7,44E+00;-1,68E-01
1,14E-03;-7,52E+00;-1,60E-01
1,16E-03;-7,68E+00;-1,60E-01
1,18E-03;-7,84E+00;-1,68E-01
1,20E-03;-8,08E+00;-1,60E-01
1,22E-03;-8,16E+00;-1,60E-01
1,24E-03;-8,40E+00;-1,60E-01
1,26E-03;-8,24E+00;-1,60E-01
1,28E-03;-8,08E+00;-1,68E-01
1,30E-03;-7,92E+00;-1,60E-01
1,32E-03;-7,76E+00;-1,60E-01
1,34E-03;-7,52E+00;-1,68E-01
1,36E-03;-7,44E+00;-1,60E-01
1,38E-03;-7,28E+00;-1,68E-01
1,40E-03;-7,12E+00;-1,60E-01
1,42E-03;-6,88E+00;-1,60E-01
1,44E-03;-6,64E+00;-1,68E-01
1,46E-03;-6,56E+00;-1,68E-01
